model,family,recon_source,embedder,tau,total,control_flow,temporal,data_conditions,binds,attr_domains
model207,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.7056,0.9355,,1.0,0.1176,0.7692
model207,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3095,0.9286,,,0.0,0.0
model207,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4099,0.9355,,,0.2941,0.0
model207,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3095,0.9286,,,0.0,0.0
model207,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3103,0.931,,,0.0,0.0
model221,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.585,0.925,1.0,1.0,0.0,0.0
model221,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model221,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model221,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5767,0.75,1.0,0.8,0.0,0.3333
model221,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model221,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5286,0.4762,0.5,1.0,0.3333,0.3333
model221,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model221,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0125,0.0625,0.0,0.0,0.0,0.0
model9,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,,0.0,0.0
model9,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2083,0.3333,0.5,,0.0,0.0
model9,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2083,0.3333,0.5,,0.0,0.0
model9,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5527,0.45,1.0,,0.2222,0.5385
model9,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2083,0.3333,0.5,,0.0,0.0
model9,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3629,0.3684,0.75,,0.0,0.3333
model9,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2083,0.3333,0.5,,0.0,0.0
model9,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2933,0.2353,0.8,,0.1379,0.0
model130,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5552,0.8387,1.0,0.9375,0.0,0.0
model130,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3697,0.1818,1.0,0.6667,0.0,0.0
model130,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2667,0.3333,0.3333,0.6667,0.0,0.0
model130,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.44,0.5,1.0,0.7,0.0,0.0
model130,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.183,0.1818,0.3333,0.4,0.0,0.0
model130,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.7733,0.4667,1.0,0.9,0.5,1.0
model130,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model130,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.24,0.2727,0.2,0.7273,0.0,0.0
model138,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.6575,0.9375,1.0,1.0,0.25,0.1
model138,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3456,0.4615,0.6,0.6667,0.0,0.0
model138,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0727,0.1818,0.0,0.1818,0.0,0.0
model138,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2487,0.1818,0.6,0.4615,0.0,0.0
model138,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0
model138,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5361,0.4615,0.6,0.7143,0.3333,0.5714
model138,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model138,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0667,0.0,0.0,0.3333,0.0,0.0
model192,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5769,0.8846,1.0,1.0,0.0,0.0
model192,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2,0.0,1.0,0.0,0.0,0.0
model192,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model192,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4923,0.4615,1.0,1.0,0.0,0.0
model192,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2,0.0,0.0,1.0,0.0,0.0
model192,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3697,0.1818,1.0,0.6667,0.0,0.0
model192,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model192,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2256,0.4615,0.0,0.6667,0.0,0.0
model38,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5923,0.9615,1.0,1.0,0.0,0.0
model38,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3952,0.6667,0.5714,0.5714,0.1667,0.0
model38,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1333,0.3333,0.0,0.3333,0.0,0.0
model38,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1467,0.0,0.4,0.3333,0.0,0.0
model38,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1333,0.3333,0.0,0.3333,0.0,0.0
model38,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5429,0.6667,0.8571,0.8571,0.0,0.3333
model38,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1333,0.3333,0.0,0.3333,0.0,0.0
model38,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2583,0.3333,0.3333,0.625,0.0,0.0
model44,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5625,0.8125,1.0,1.0,0.0,0.0
model44,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0667,0.3333,0.0,0.0,0.0,0.0
model44,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model44,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3619,0.5714,0.0,0.6667,0.0,0.5714
model44,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2,0.3333,0.0,0.6667,0.0,0.0
model44,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2227,0.1818,0.0,0.75,0.0,0.1818
model44,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2,0.3333,0.0,0.6667,0.0,0.0
model44,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2,0.3333,0.0,0.6667,0.0,0.0
model10,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1176,0.0,0.0,0.5882,0.0,0.0
model10,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5148,0.5,0.8571,0.6667,0.55,0.0
model10,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4191,0.6957,0.4,1.0,0.0,0.0
model10,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4751,0.4211,1.0,0.9545,0.0,0.0
model10,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3931,0.7083,0.4,0.8571,0.0,0.0
model10,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.7811,0.5714,1.0,0.8846,0.7826,0.6667
model10,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3906,0.6957,0.4,0.8571,0.0,0.0
model10,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2963,0.125,0.0,0.6667,0.5789,0.1111
model172,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.6271,0.9524,1.0,0.9333,0.25,0.0
model172,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4231,0.3333,1.0,0.6154,0.1667,0.0
model172,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2667,0.3333,0.5,0.5,0.0,0.0
model172,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4804,0.6522,0.75,0.8333,0.1667,0.0
model172,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2394,0.3333,0.5,0.3636,0.0,0.0
model172,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4785,0.2353,0.8,0.4167,0.3571,0.5833
model172,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2394,0.3333,0.5,0.3636,0.0,0.0
model172,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0727,0.0,0.0,0.2727,0.0909,0.0
model202,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5907,0.9535,1.0,1.0,0.0,0.0
model202,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1971,0.2353,0.75,0.0,0.0,0.0
model202,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0667,0.3333,0.0,0.0,0.0,0.0
model202,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3052,0.2353,0.6,0.6,0.0909,0.0
model202,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model202,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3624,0.125,0.875,0.4,0.4118,0.0
model202,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0667,0.3333,0.0,0.0,0.0,0.0
model202,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3414,0.4737,0.75,0.4,0.0833,0.0
model205,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model205,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1514,0.2353,0.0,0.5217,0.0,0.0
model205,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.572,0.9,1.0,0.96,0.0,0.0
model205,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4821,0.2778,0.25,0.6429,0.4706,0.7692
model205,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model205,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2288,0.0,0.0,0.2105,0.4333,0.5
model205,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1166,0.2353,0.0,0.3478,0.0,0.0
model205,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1453,0.2105,0.0,0.2105,0.3056,0.0
model247,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.6121,0.9492,1.0,1.0,0.1111,0.0
model247,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5184,0.6667,1.0,0.7826,0.1429,0.0
model247,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1524,0.3333,0.0,0.4286,0.0,0.0
model247,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.752,0.9,1.0,0.9412,0.7188,0.2
model247,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1524,0.3333,0.0,0.4286,0.0,0.0
model247,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5371,0.7857,1.0,0.9,0.0,0.0
model247,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model247,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5338,0.6818,0.8,0.8077,0.3793,0.0
