model,family,recon_source,embedder,tau,total,control_flow,temporal,data_conditions,binds,attr_domains
model179,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model179,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2284,0.3571,0.0,0.4,0.3846,0.0
model179,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model179,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2476,0.2857,0.0,0.6667,0.0,0.2857
model248,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5989,0.8947,1.0,1.0,0.1,0.0
model248,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0625,0.25,0.0,,0.0,0.0
model248,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,,0.0,0.0
model248,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1333,0.2,0.3333,,0.0,0.0
model248,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0625,0.25,0.0,,0.0,0.0
model248,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2208,0.55,0.3333,,0.0,0.0
model248,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0625,0.25,0.0,,0.0,0.0
model248,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2969,0.4375,0.75,,0.0,0.0
model35,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,,0.0,0.0
model35,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0333,0.1333,0.0,,0.0,0.0
model35,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0625,0.25,0.0,,0.0,0.0
model35,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5283,0.6667,0.5385,,0.6857,0.2222
model35,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0625,0.25,0.0,,0.0,0.0
model35,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.471,0.2778,0.3333,1.0,0.5217,0.2222
model35,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0625,0.25,0.0,,0.0,0.0
model35,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4428,0.4211,0.1818,1.0,0.3889,0.2222
model57,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model57,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2,0.0,1.0,0.0,0.0,0.0
model57,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.025,0.125,0.0,0.0,0.0,0.0
model57,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4292,0.4211,1.0,0.0,0.625,0.1
model57,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.025,0.125,0.0,0.0,0.0,0.0
model57,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4833,0.7273,0.0,1.0,0.4167,0.2727
model57,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.025,0.125,0.0,0.0,0.0,0.0
model57,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4471,0.2353,1.0,1.0,0.0,0.0
model97,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0471,0.2353,0.0,0.0,0.0,0.0
model97,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0588,0.2941,0.0,0.0,0.0,0.0
model97,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.025,0.125,0.0,0.0,0.0,0.0
model97,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.11,0.55,0.0,0.0,0.0,0.0
model97,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0471,0.2353,0.0,0.0,0.0,0.0
model97,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5144,0.2941,0.0,0.6667,0.6667,0.9444
model97,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0471,0.2353,0.0,0.0,0.0,0.0
model97,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0588,0.2941,0.0,0.0,0.0,0.0
