model,family,n_constraints,coverage_nisaba,coverage_zeroshot,aligned_nisaba,aligned_zeroshot,density_nisaba,density_zeroshot,profilecos_nisaba,profilecos_zeroshot
model192,xai,10,1.0,1.0,0.6,0.6,7.64,5.8,0.675,0.535
model192,zai,10,1.0,1.0,0.6,0.3,5.73,6.1,0.61,0.314
model200,anthropic,8,1.0,1.0,1.0,0.375,4.2,2.04,0.627,0.823
model200,deepseek,8,1.0,1.0,0.25,0.125,7.18,3.51,0.217,0.06
model200,xai,8,1.0,1.0,0.25,0.25,4.82,3.61,0.676,0.105
model200,zai,8,1.0,1.0,1.0,0.5,3.71,2.03,0.673,0.254
model202,anthropic,15,1.0,1.0,0.8,1.0,6.23,4.56,0.823,0.698
model202,deepseek,15,1.0,1.0,0.8,0.667,7.18,7.87,0.708,0.723
model202,xai,15,1.0,1.0,0.667,0.6,8.92,3.37,0.739,0.431
model202,zai,15,1.0,1.0,0.933,0.733,5.74,6.26,0.747,0.602
model205,anthropic,15,1.0,1.0,0.933,0.733,5.48,3.3,0.506,0.854
model205,deepseek,15,1.0,1.0,1.0,0.667,5.96,4.59,0.874,0.709
model205,xai,15,1.0,1.0,0.8,0.667,6.21,4.3,0.589,0.824
model205,zai,15,1.0,1.0,1.0,0.4,7.94,3.89,0.842,0.714
model207,anthropic,15,1.0,1.0,0.933,0.933,8.58,3.89,0.506,0.245
model207,deepseek,15,1.0,1.0,1.0,1.0,13.1,4.48,0.865,0.391
model207,xai,15,1.0,1.0,1.0,0.333,9.23,2.45,0.794,0.59
model207,zai,15,1.0,1.0,1.0,1.0,7.02,2.77,0.784,0.867
model208,anthropic,9,1.0,1.0,0.889,0.444,6.35,3.9,0.692,0.533
model208,deepseek,9,1.0,1.0,0.778,0.556,8.3,4.62,0.715,0.557
model208,xai,9,1.0,1.0,0.889,0.333,5.92,3.26,0.725,0.592
model208,zai,9,1.0,1.0,0.889,0.444,5.0,3.92,0.702,0.463
model212,anthropic,10,1.0,1.0,1.0,0.6,6.76,4.55,0.643,0.529
model212,deepseek,10,1.0,1.0,0.7,0.2,8.08,3.29,0.696,0.265
model212,xai,10,1.0,1.0,1.0,0.1,7.85,3.28,0.621,0.0
model212,zai,10,1.0,1.0,1.0,0.3,5.84,3.43,0.7,0.171
model221,anthropic,15,1.0,1.0,0.8,0.933,6.56,6.97,0.688,0.853
model221,deepseek,15,1.0,1.0,0.8,0.6,7.73,5.88,0.931,0.74
model221,xai,15,1.0,1.0,0.933,0.667,8.87,6.17,0.91,0.797
model221,zai,15,1.0,1.0,0.8,0.733,9.56,3.84,0.922,0.884
model234,anthropic,14,1.0,1.0,1.0,0.571,8.87,3.26,0.757,0.668
model234,deepseek,14,1.0,1.0,0.929,0.714,10.88,3.04,0.916,0.787
model234,xai,14,1.0,1.0,0.929,0.571,9.02,2.97,0.921,0.874
model234,zai,14,1.0,1.0,1.0,0.643,9.64,3.33,0.915,0.795
model247,anthropic,15,1.0,1.0,0.6,0.6,6.15,5.75,0.31,0.338
model247,deepseek,15,1.0,1.0,0.6,0.533,6.98,5.33,0.379,0.485
model247,xai,15,1.0,0.867,0.6,0.385,8.41,3.54,0.454,0.456
model247,zai,15,1.0,1.0,0.6,0.4,5.95,5.14,0.442,0.226
model248,anthropic,15,1.0,1.0,0.933,0.8,5.96,6.45,0.863,0.895
model248,deepseek,15,1.0,1.0,0.733,0.667,9.16,4.32,0.845,0.848
model248,xai,15,1.0,1.0,0.867,0.6,9.7,5.11,0.909,0.864
model248,zai,15,1.0,1.0,0.933,0.6,5.9,3.41,0.833,0.89
model28,anthropic,10,1.0,1.0,1.0,0.6,8.53,5.82,0.879,0.693
model28,deepseek,10,1.0,1.0,0.6,0.7,12.82,5.96,0.758,0.781
model28,xai,10,1.0,1.0,0.7,0.6,9.26,6.14,0.742,0.672
model28,zai,10,1.0,1.0,0.9,0.8,6.39,5.63,0.809,0.731
