filename,flesch_reading_ease
model103_nisaba_description.txt,29.938527169714177
model103_zero-shot_description.txt,48.45559970948332
model194_nisaba_description.txt,40.13811786797632
model194_zero-shot_description.txt,53.397827079107515
model246_nisaba_description.txt,34.108753553793235
model246_zero-shot_description.txt,48.76177500000003
model247_nisaba_description.txt,40.55505746144317
model247_zero-shot_description.txt,61.11453022400394
model250_nisaba_description.txt,32.42034580778014
model250_zero-shot_description.txt,46.702084249084265
model2_nisaba_description.txt,44.574114079594125
model2_zero-shot_description.txt,53.63140841621461
model64 _nisaba_description.txt,29.734521493997562
model64 _zero-shot_description.txt,44.09045108488772
model93_nisaba_description.txt,39.423197153024915
model93_zero-shot_description.txt,46.729107467348115
