model,variant,category,expected,total,control_flow,temporal,data_conditions,binds,attr_domains,pass
model247,rebind,SENSITIVITY,binds,0.0125,0.0,0.0,,0.050000000000000044,0.0,True
model247,drop_bind,SENSITIVITY,binds,0.0125,0.0,0.0,,0.050000000000000044,0.0,True
model247,relabel_single,LIMITATION,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model64,recon_reorder,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model64,recon_paraphrase,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model64,syn_names,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model64,syn_values,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model64,syn_all,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model64,enum_synonym,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model64,reorder,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model64,tmpl_confusion,SENSITIVITY,control_flow,0.0312,0.125,0.0,,0.0,0.0,True
model64,drop_condition,SENSITIVITY,ANY,0.25,0.0,1.0,,0.0,0.0,True
model64,neg_template,SENSITIVITY,control_flow,0.0312,0.125,0.0,,0.0,0.0,True
model64,swap_acts,SENSITIVITY,control_flow,0.0312,0.125,0.0,,0.0,0.0,True
model64,cardinality,SENSITIVITY,control_flow,0.0312,0.125,0.0,,0.0,0.0,True
model64,drop_constr,SENSITIVITY,control_flow,0.0167,0.06666666666666665,0.0,,0.0,0.0,True
model64,add_constr,SENSITIVITY,control_flow,0.0156,0.0625,0.0,,0.0,0.0,True
model64,val_antonym,SENSITIVITY,ANY_DATA,0.05,0.0,0.0,,0.0,0.19999999999999996,True
model64,domain_range,SENSITIVITY,attr_domains,0.05,0.0,0.0,,0.0,0.19999999999999996,True
model64,time_window,SENSITIVITY,temporal,0.25,0.0,1.0,,0.0,0.0,True
model64,time_unit,SENSITIVITY,temporal,0.25,0.0,1.0,,0.0,0.0,True
model64,rebind,SENSITIVITY,binds,0.0227,0.0,0.0,,0.09090909090909094,0.0,True
model64,drop_bind,SENSITIVITY,binds,0.0227,0.0,0.0,,0.09090909090909094,0.0,True
model64,relabel_single,LIMITATION,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model2,recon_reorder,INVARIANCE,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model2,recon_paraphrase,INVARIANCE,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model2,syn_names,INVARIANCE,(total~0),0.4365,0.5714285714285714,0.6666666666666667,0.5,0.4444444444444444,0.0,False
model2,syn_all,INVARIANCE,(total~0),0.4365,0.5714285714285714,0.6666666666666667,0.5,0.4444444444444444,0.0,False
model2,reorder,INVARIANCE,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model2,tmpl_confusion,SENSITIVITY,control_flow,0.1697,0.18181818181818177,0.6666666666666667,0.0,0.0,0.0,True
model2,drop_condition,SENSITIVITY,ANY,0.1,0.0,0.5,0.0,0.0,0.0,True
model2,neg_template,SENSITIVITY,control_flow,0.1697,0.18181818181818177,0.6666666666666667,0.0,0.0,0.0,True
model2,swap_acts,SENSITIVITY,control_flow,0.1697,0.18181818181818177,0.6666666666666667,0.0,0.0,0.0,True
model2,cardinality,SENSITIVITY,control_flow,0.0364,0.18181818181818177,0.0,0.0,0.0,0.0,True
model2,drop_constr,SENSITIVITY,control_flow,0.0867,0.09999999999999998,0.0,0.33333333333333337,0.0,0.0,True
model2,add_constr,SENSITIVITY,control_flow,0.0182,0.09090909090909094,0.0,0.0,0.0,0.0,True
model2,op_flip,SENSITIVITY,data_conditions,0.1,0.0,0.0,0.5,0.0,0.0,True
model2,domain_range,SENSITIVITY,attr_domains,0.0667,0.0,0.0,0.0,0.0,0.33333333333333337,True
model2,time_window,SENSITIVITY,temporal,0.1333,0.0,0.6666666666666667,0.0,0.0,0.0,True
model2,time_unit,SENSITIVITY,temporal,0.1333,0.0,0.6666666666666667,0.0,0.0,0.0,True
model2,rebind,SENSITIVITY,binds,0.05,0.0,0.0,0.0,0.25,0.0,True
model2,drop_bind,SENSITIVITY,binds,0.0286,0.0,0.0,0.0,0.1428571428571429,0.0,True
model2,relabel_single,LIMITATION,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model93,recon_reorder,INVARIANCE,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model93,recon_paraphrase,INVARIANCE,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model93,syn_names,INVARIANCE,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model93,syn_values,INVARIANCE,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model93,syn_all,INVARIANCE,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model93,enum_synonym,INVARIANCE,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model93,reorder,INVARIANCE,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model93,tmpl_confusion,SENSITIVITY,control_flow,0.0764,0.18181818181818177,0.0,0.19999999999999996,0.0,0.0,True
model93,drop_condition,SENSITIVITY,ANY,0.0222,0.0,0.0,0.11111111111111116,0.0,0.0,True
model93,neg_template,SENSITIVITY,control_flow,0.2097,0.18181818181818177,0.6666666666666667,0.19999999999999996,0.0,0.0,True
model93,swap_acts,SENSITIVITY,control_flow,0.0764,0.18181818181818177,0.0,0.19999999999999996,0.0,0.0,True
model93,cardinality,SENSITIVITY,control_flow,0.0364,0.18181818181818177,0.0,0.0,0.0,0.0,True
model93,drop_constr,SENSITIVITY,control_flow,0.0644,0.09999999999999998,0.0,0.2222222222222222,0.0,0.0,True
model93,add_constr,SENSITIVITY,control_flow,0.0182,0.09090909090909094,0.0,0.0,0.0,0.0,True
model93,val_antonym,SENSITIVITY,ANY_DATA,0.05,0.0,0.0,0.0,0.0,0.25,True
model93,domain_range,SENSITIVITY,attr_domains,0.05,0.0,0.0,0.0,0.0,0.25,True
model93,time_window,SENSITIVITY,temporal,0.1333,0.0,0.6666666666666667,0.0,0.0,0.0,True
model93,time_unit,SENSITIVITY,temporal,0.1333,0.0,0.6666666666666667,0.0,0.0,0.0,True
model93,rebind,SENSITIVITY,binds,0.01,0.0,0.0,0.0,0.050000000000000044,0.0,True
